state,CLAIM_FROM_MONTH,total_paid,total_claims,total_bens,rows,total_paid_delta,total_claims_delta,total_bens_delta,rows_delta
ALL,2018-01-01,9232048522.37021,187217689.0,113342897.0,2342528,,,,
ALL,2018-02-01,8420467832.359959,171352502.0,104351414.0,2182404,-811580690.010252,-15865187.0,-8991483.0,-160124.0
ALL,2018-03-01,9129935988.660149,183682093.0,110825567.0,2298849,709468156.30019,12329591.0,6474153.0,116445.0
ALL,2018-04-01,8981173692.470133,179619696.0,107694834.0,2245770,-148762296.1900158,-4062397.0,-3130733.0,-53079.0
ALL,2018-05-01,9384689427.050318,185076176.0,110182879.0,2288006,403515734.58018494,5456480.0,2488045.0,42236.0
ALL,2018-06-01,8607149265.449905,164850507.0,100094343.0,2116362,-777540161.6004124,-20225669.0,-10088536.0,-171644.0
ALL,2018-07-01,8854594623.629992,169724543.0,102373426.0,2171413,247445358.18008614,4874036.0,2279083.0,55051.0
ALL,2018-08-01,9492334835.450018,186434915.0,113633755.0,2374680,637740211.8200264,16710372.0,11260329.0,203267.0
ALL,2018-09-01,8661621043.37006,168487953.0,100688468.0,2147486,-830713792.079958,-17946962.0,-12945287.0,-227194.0
ALL,2018-10-01,9921379666.380302,198197925.0,118334299.0,2460411,1259758623.0102425,29709972.0,17645831.0,312925.0
ALL,2018-11-01,9072923512.380045,173605775.0,102742360.0,2175749,-848456154.0002575,-24592150.0,-15591939.0,-284662.0
ALL,2018-12-01,8907431063.820095,166190908.0,96922801.0,2058597,-165492448.55994987,-7414867.0,-5819559.0,-117152.0
ALL,2019-01-01,10529905105.900082,202463697.0,119769828.0,2457252,1622474042.0799866,36272789.0,22847027.0,398655.0
ALL,2019-02-01,9680573063.790104,187149977.0,111443392.0,2312963,-849332042.1099777,-15313720.0,-8326436.0,-144289.0
ALL,2019-03-01,10638499933.200005,202656457.0,120287086.0,2462258,957926869.4099007,15506480.0,8843694.0,149295.0
ALL,2019-04-01,10662800690.750004,204034522.0,120056910.0,2480132,24300757.549999237,1378065.0,-230176.0,17874.0
ALL,2019-05-01,10788430160.41996,203400802.0,118335223.0,2453610,125629469.6699562,-633720.0,-1721687.0,-26522.0
ALL,2019-06-01,9722889154.490047,179172702.0,106684985.0,2251062,-1065541005.9299126,-24228100.0,-11650238.0,-202548.0
ALL,2019-07-01,10364775003.790085,193812066.0,114502037.0,2390448,641885849.3000374,14639364.0,7817052.0,139386.0
ALL,2019-08-01,10628704037.170044,202465238.0,120864691.0,2506157,263929033.3799591,8653172.0,6362654.0,115709.0
ALL,2019-09-01,10530148010.349892,201493119.0,118468405.0,2470440,-98556026.82015228,-972119.0,-2396286.0,-35717.0
ALL,2019-10-01,11890862793.230165,229836010.0,135188555.0,2747427,1360714782.8802738,28342891.0,16720150.0,276987.0
