state,CLAIM_FROM_MONTH,total_paid,total_claims,total_bens,rows,total_paid_delta,total_claims_delta,total_bens_delta,rows_delta
AK,2018-01-01,73754476.48999998,613535.0,293897.0,7778,,,,
AK,2018-02-01,65441028.920000054,541346.0,260295.0,7140,-8313447.569999926,-72189.0,-33602.0,-638.0
AK,2018-03-01,75870702.61000007,618477.0,295396.0,7881,10429673.69000002,77131.0,35101.0,741.0
AK,2018-04-01,72962100.53000012,609729.0,282253.0,7544,-2908602.0799999535,-8748.0,-13143.0,-337.0
AK,2018-05-01,71100365.56000006,619175.0,277760.0,7405,-1861734.9700000584,9446.0,-4493.0,-139.0
AK,2018-06-01,67181632.88,545147.0,251506.0,6860,-3918732.6800000668,-74028.0,-26254.0,-545.0
AK,2018-07-01,68655639.63,555419.0,254249.0,6926,1474006.75,10272.0,2743.0,66.0
AK,2018-08-01,75319071.77000001,622506.0,291973.0,7929,6663432.1400000155,67087.0,37724.0,1003.0
AK,2018-09-01,66513581.79000005,543319.0,257214.0,7035,-8805489.97999996,-79187.0,-34759.0,-894.0
AK,2018-10-01,74213566.33999996,620245.0,295213.0,7895,7699984.549999908,76926.0,37999.0,860.0
AK,2018-11-01,66360075.67999993,543347.0,253266.0,6834,-7853490.660000026,-76898.0,-41947.0,-1061.0
AK,2018-12-01,62532445.88000003,508043.0,237947.0,6335,-3827629.7999999,-35304.0,-15319.0,-499.0
AK,2019-01-01,78500035.51000002,615069.0,302767.0,7889,15967589.629999988,107026.0,64820.0,1554.0
AK,2019-02-01,70748273.20999998,558314.0,277840.0,7443,-7751762.300000042,-56755.0,-24927.0,-446.0
AK,2019-03-01,77461687.70999992,603676.0,299294.0,7835,6713414.49999994,45362.0,21454.0,392.0
AK,2019-04-01,82314406.05000001,631479.0,308729.0,8190,4852718.340000093,27803.0,9435.0,355.0
AK,2019-05-01,79331295.74999996,603955.0,292580.0,7729,-2983110.3000000566,-27524.0,-16149.0,-461.0
AK,2019-06-01,72705641.09000003,541780.0,262262.0,7079,-6625654.659999922,-62175.0,-30318.0,-650.0
AK,2019-07-01,74157803.39000005,563409.0,268700.0,7188,1452162.300000012,21629.0,6438.0,109.0
AK,2019-08-01,75755477.9999999,571679.0,279372.0,7547,1597674.6099998504,8270.0,10672.0,359.0
AK,2019-09-01,76435663.97999999,590245.0,293873.0,8035,680185.9800000936,18566.0,14501.0,488.0
AK,2019-10-01,80732326.87999997,611907.0,297418.0,7973,4296662.899999976,21662.0,3545.0,-62.0
AK,2019-11-01,69032974.63,518752.0,247258.0,6679,-11699352.24999997,-93155.0,-50160.0,-1294.0
AK,2019-12-01,69523644.94000009,522817.0,253563.0,6655,490670.3100000918,4065.0,6305.0,-24.0
AK,2020-01-01,80733372.27000001,598165.0,300630.0,8019,11209727.329999924,75348.0,47067.0,1364.0
AK,2020-02-01,72946643.10000005,539663.0,268204.0,7334,-7786729.169999957,-58502.0,-32426.0,-685.0
AK,2020-03-01,61702364.34000003,450121.0,212995.0,5834,-11244278.76000002,-89542.0,-55209.0,-1500.0
AK,2020-04-01,44711055.879999995,334199.0,134394.0,3846,-16991308.46000004,-115922.0,-78601.0,-1988.0
AK,2020-05-01,52710359.29999999,408199.0,186301.0,5244,7999303.419999994,74000.0,51907.0,1398.0
AK,2020-06-01,62302381.48000001,467849.0,230256.0,6504,9592022.180000022,59650.0,43955.0,1260.0
AK,2020-07-01,65456602.97999998,496982.0,237189.0,6712,3154221.49999997,29133.0,6933.0,208.0
AK,2020-08-01,64445866.51999995,469063.0,235847.0,6648,-1010736.4600000307,-27919.0,-1342.0,-64.0
AK,2020-09-01,67630205.53000002,485282.0,247664.0,7008,3184339.010000065,16219.0,11817.0,360.0
AK,2020-10-01,71418719.11999996,516898.0,260160.0,7280,3788513.589999944,31616.0,12496.0,272.0
AK,2020-11-01,57828374.72000003,427854.0,208526.0,5857,-13590344.399999931,-89044.0,-51634.0,-1423.0
AK,2020-12-01,61370115.95000003,452569.0,217523.0,6128,3541741.230000004,24715.0,8997.0,271.0
AK,2021-01-01,68763250.18,482644.0,243875.0,6885,7393134.229999974,30075.0,26352.0,757.0
AK,2021-02-01,65517983.45999998,460403.0,240071.0,7007,-3245266.7200000286,-22241.0,-3804.0,122.0
AK,2021-03-01,75957805.89999999,549322.0,284485.0,8006,10439822.440000013,88919.0,44414.0,999.0
AK,2021-04-01,72684289.83000003,522557.0,279244.0,7850,-3273516.069999963,-26765.0,-5241.0,-156.0
