HCPCS_CODE,n,claims,unit_mean,unit_std,unit_p10,unit_p90,unit_iqr_like,cv,suspicion_score
84156,79290,6066383.0,4.186447631810245,132.02087088320056,0.07686546610169497,4.152,4.075134533898305,31.53529734375632,800.0629200351447
J3490,286458,38495238.0,20.297652485371536,217.8823468509101,0.0,40.06546153846154,40.06546153846154,10.73436186809964,696.6099210193827
99199,116848,173326821.0,58.00496703866355,521.8223483483392,2.6041666666666665,51.603634530791794,48.99946786412513,8.996166621394948,667.7118720422085
J0887,87555,3619274.0,88.45433417335421,700.1367218300089,0.0,221.07103571428573,221.07103571428573,7.915233644265185,645.9242918084135
0571,309,28406.0,37.53324507279224,468.5691489379475,0.0,65.0,65.0,12.484109701391425,536.3897444976532
A4657,190719,42471012.0,22.64604875570706,152.9073374744541,0.0,48.01313194504451,48.01313194504451,6.752053708085377,461.65179682659686
H2027,26621,5637345.0,161.19255792993897,774.5718591334899,0.0,249.48761421319796,249.48761421319796,4.805258189836228,412.67003931477706
J1642,42513,2725332.0,9.697880055313432,114.71723162979902,0.0,8.575386335403726,8.575386335403726,11.829103987210678,396.0363104368608
T1030,23056,3576086.0,145.15855465152944,795.944144198588,42.84055506216696,155.25283844080877,112.4122833786418,5.483274107470604,391.5234045573701
94760,224327,13222659.0,3.025968141442507,45.41277564681491,0.0,3.785353846153846,3.785353846153846,15.007684656311755,385.2906414323293
0730,2349,71367.0,14.297091041978042,145.46558615632352,0.0,26.611355555555566,26.611355555555566,10.174488343762967,377.3396202188765
J9999,350,15876.0,68.60359536314758,667.7743261674683,0.0,51.3268511941213,51.3268511941213,9.733809469207248,372.643774079518
J1100,326786,17408335.0,3.7351833749032406,46.3824310050723,0.0,4.863662575170936,4.863662575170936,12.417711889787427,366.2255820916108
T1002,95312,13932247.0,91.69202059919364,409.87993993913614,8.555652173913044,145.03600000000034,136.4803478260873,4.470181126565126,362.120366499382
J1200,118003,5922771.0,3.57623544301399,46.862322015521926,0.0,4.82220634920635,4.82220634920635,13.10381342678802,360.0178193925474
J0690,91842,4950109.0,5.316819785128603,56.5305245377107,0.0,6.728453416149079,6.728453416149079,10.63239433012743,335.1869808794242
C9399,2884,129174.0,53.15953487974429,364.6871919437411,0.0,61.718708333333375,61.718708333333375,6.86024045862561,334.1943482449084
Q5001,49695,2826587.0,65.27506618393537,395.58701098026165,0.0,39.41098969072154,39.41098969072154,6.060308079436591,333.0604322758064
T1999,18830,4599025.0,89.62144212276515,375.1839533517977,1.20648987854251,172.97488125,171.7683913714575,4.186319082411814,330.95700678035956
G2211,121084,3708622.0,4.622502735161801,38.88027742821281,0.0,12.061291666666666,12.061291666666666,8.411088030833126,326.9695467820685
G9006,14949,2206712.0,111.50980392914454,462.1684349320079,0.0,217.55692307692306,217.55692307692306,4.144643956379643,326.21519696192814
0636,10519,915962.0,25.1844524600671,149.53640395179775,0.0,50.94719540229889,50.94719540229889,5.937647609726884,322.0389910408727
0160,4254,248225.0,402.8518028817803,1519.0657223871451,0.3682421474358975,899.0,898.6317578525641,3.7707804992321843,318.696252546764
T1003,42668,12404681.0,156.06953852510188,487.9504791726039,3.9222762923351158,456.98355161787373,453.0612753255386,3.1264940217281607,312.5388034966761
99153,27731,762922.0,12.598955255346826,91.83430895052226,0.0,21.940952380952382,21.940952380952382,7.289041598234824,309.3541985989477
H0030,7309,1204928.0,9.88205096535943,70.23972982525261,0.0,21.32661956521739,21.32661956521739,7.107808902369677,309.1401560807282
J3010,174180,12738564.0,3.487472459448686,35.4921667420671,0.0,5.33223426573427,5.33223426573427,10.177045741510414,307.3276398642748
G0156,52701,49714941.0,67.81146644143132,272.6036869040491,0.0,70.68271028037384,70.68271028037384,4.0200234740461855,304.4398150140457
Q5004,2743,348645.0,162.12395852352114,739.2244422011859,0.0,183.7725263497329,183.7725263497329,4.559624924862282,303.7627037673448
A9270,94758,13425976.0,2.255890166863326,59.19817739686387,0.0,1.0236547072330653,1.0236547072330653,26.241604430225973,303.6111336906261
99070,42941,5988983.0,23.240917669065535,124.23529700562806,0.0,35.294117647058826,35.294117647058826,5.345541805820754,299.67013789100025
S0020,9982,316787.0,10.718568975541103,97.21893735241662,0.0,12.205862552249814,12.205862552249814,9.070141506227396,296.5049525278222
H0019,39457,20357508.0,1082.5795545617457,2360.5007639334117,102.1348838844053,3174.331747058824,3072.196863174419,2.1804409237056017,294.8097920789442
Q4081,62546,23587739.0,26.059265136475297,109.11126584114048,0.0,60.08418661971831,60.08418661971831,4.1870430831304155,292.36973570517966
Z5999,549,88109.0,625.1270487718214,2446.5505388252564,139.1736416464891,841.7191428571429,702.5455012106538,3.9136852958641946,292.2326781264517
T2025,26437,20538486.0,366.60621619509413,937.626301470208,46.64705074626866,799.7450230031408,753.0979722568721,2.5575842963100177,285.433854803154
S5125,214380,398071209.0,204.41488967060442,492.2939184008772,34.70273123645232,427.67081141439223,392.9680801779399,2.4083075317760025,285.1245410843945
0300,11583,532777.0,20.456823171357193,125.8820846748438,0.0,32.522909090909145,32.522909090909145,6.153550021935896,285.02804984310876
0272,8179,413862.0,24.47476373751015,139.79086074235238,0.0,45.51549999999996,45.51549999999996,5.711632694051636,283.6954044261478
J3420,68015,2167527.0,1.9412132338165176,31.29023422322847,0.0,2.3338666666666663,2.3338666666666663,16.118906299495176,283.1817982780392
J7999,12089,465980.0,22.111158749140646,118.00088046504591,0.0,56.5409701897019,56.5409701897019,5.3367117392539205,282.3264608765811
J1170,98403,6069586.0,4.004519875609977,33.1617506726366,0.0,7.753061538461539,7.753061538461539,8.281080304935516,280.6257212161236
T1013,40198,7851560.0,40.28120107659692,165.0822320490492,0.0,67.44826612903226,67.44826612903226,4.098245028372819,275.03540151668545
73620,23717,794519.0,16.77336170076625,104.70463465103157,2.413624879459981,26.58213333333334,24.168508453873358,6.24231662793323,273.59012599358323
H0037,9204,5103231.0,373.6345244631162,1074.7395892247328,0.0,428.42,428.42,2.8764461495335585,269.43441064207167
OP250,8431,6478813.0,7.019884928524395,44.47814609353788,0.0,13.785246975806452,13.785246975806452,6.336022106688199,267.7203000240944
C9113,18986,685027.0,1.8802693302723437,23.405797394216727,0.0,3.9251315789473686,3.9251315789473686,12.448108905135713,266.70519061352246
J2250,148429,9344592.0,3.431915098039919,33.57840312651063,0.0,4.380714285714285,4.380714285714285,9.784159038691946,264.2951712865176
0250,30749,5471829.0,17.646257584099757,91.20783685328831,0.0,25.80050871338525,25.80050871338525,5.168678764809121,263.7583364281053
H2014,131724,60726091.0,152.85366718948498,414.92264127608706,2.813333333333333,222.2000555801268,219.38672224679345,2.7145089084564025,262.5773375472065
A4649,11683,1122079.0,45.78354479824735,201.2325308775134,0.0,68.79736666666669,68.79736666666669,4.395302542961174,260.01538129308136
H2016,72289,60739036.0,1105.7262195939172,1982.2391843661846,76.5696633814577,3276.835504464286,3200.265841082828,1.7927034280639293,259.46754384050917
J3475,43070,1649198.0,3.066878468676383,26.907723911340035,0.0,6.888388888888888,6.888388888888888,8.773651837254898,259.4466081106416
J7050,79819,6471654.0,7.105646884146728,52.04498067345794,0.0,8.538412307692306,8.538412307692306,7.324453567988932,259.1024958018165
T1020,39648,33504642.0,702.703574969103,1418.1286681290806,55.857926884098035,1657.0755256410257,1601.2175987569276,2.018103676491804,258.16231955818483
0551,5303,1057292.0,59.92546700628755,226.52811195944005,0.0,131.5452590698115,131.5452590698115,3.780164315376501,256.3160997905928
82803,52747,3192041.0,12.232614842069909,63.750459404484296,0.0,25.31095384615385,25.31095384615385,5.211515299675448,255.26657492365902
J2930,60377,1797322.0,5.100960278766961,37.68602454985882,0.0,9.868805555555555,9.868805555555555,7.388025487422251,253.89600355618305
88300,18862,452431.0,10.746312080706845,79.98406335489554,0.0,12.71119642857143,12.71119642857143,7.442931375359288,253.80377934359458
82570,159830,22764100.0,3.7747860853568587,28.84415583587953,0.0,6.018085557299844,6.018085557299844,7.641268984160907,252.26200147657454
J0330,28115,945916.0,4.590308386852481,37.895894715126886,0.0,8.019215311004803,8.019215311004803,8.255631543986883,249.87010382851355
T2016,81288,69000080.0,1808.9305839322499,2887.5492563059274,130.15296714975847,5925.466001231529,5795.313034081771,1.5962742196712592,249.81294120605222
J2370,17216,620301.0,3.4370775431954352,40.597582885222806,0.0,3.8700909090909086,3.8700909090909086,11.811657541912604,249.430115229642
H0043,20108,14374131.0,455.0079366731895,975.012110176545,40.25145899486007,1191.0306696832577,1150.7792106883976,2.142846380450831,249.06176582268563
J7120,116274,8693708.0,6.681708857974472,40.33555404357932,0.0,12.117188759278898,12.117188759278898,6.036712299345358,248.30957158443434
90899,3530,161075.0,67.85302715998252,283.3454978053558,0.0,139.82487281105986,139.82487281105986,4.175871138914546,247.76743087216332
94799,3360,202779.0,78.14096738490296,352.8553207808985,0.0,87.46084073438846,87.46084073438846,4.51562519110905,247.40415750402772
J0461,2417,62489.0,6.708429829260787,77.58669384332242,0.0,5.8640421052631595,5.8640421052631595,11.565551972371429,246.03945337277577
J9035,43028,1397103.0,113.61493136122635,454.24832467205357,10.723857142857144,86.24949107981222,75.52563393695507,3.998139322267601,245.45526723561647
